
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server
  2026-07-22 12:01:44 /bench1 .................................... ~ 505.32ms
  2026-07-22 12:01:44 /bench1 .................................... ~ 505.34ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:44 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:45 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:45 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:45 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:45 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:45 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:45 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:45 /bench1 .................................... ~ 501.27ms
  2026-07-22 12:01:45 /bench1 .................................... ~ 501.30ms
  2026-07-22 12:01:45 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:45 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:45 /bench1 ...................................... ~ 0.65ms
  2026-07-22 12:01:45 /bench1 ...................................... ~ 0.24ms
  2026-07-22 12:01:45 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:45 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:45 /bench1 ...................................... ~ 0.76ms
  2026-07-22 12:01:45 /bench1 .................................... ~ 500.61ms
  2026-07-22 12:01:45 /bench1 .................................... ~ 500.62ms
  2026-07-22 12:01:45 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:45 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:46 /bench1 ...................................... ~ 0.67ms
  2026-07-22 12:01:46 /bench1 ...................................... ~ 0.25ms
  2026-07-22 12:01:46 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:46 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:46 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:46 /bench1 ...................................... ~ 0.43ms
  2026-07-22 12:01:46 /bench1 .................................... ~ 505.37ms
  2026-07-22 12:01:46 /bench1 .................................... ~ 505.42ms
  2026-07-22 12:01:46 /bench1 ...................................... ~ 0.25ms
  2026-07-22 12:01:46 /bench1 ...................................... ~ 0.63ms
  2026-07-22 12:01:46 /bench1 ...................................... ~ 0.23ms
  2026-07-22 12:01:46 /bench1 ...................................... ~ 0.26ms
  2026-07-22 12:01:46 /bench1 ...................................... ~ 0.24ms
  2026-07-22 12:01:46 /bench1 ...................................... ~ 0.22ms
  2026-07-22 12:01:46 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:46 /bench1 ...................................... ~ 0.43ms
  2026-07-22 12:01:46 /bench1 .................................... ~ 505.33ms
  2026-07-22 12:01:46 /bench1 .................................... ~ 505.33ms
  2026-07-22 12:01:46 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:46 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:47 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:47 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:47 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:47 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:47 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:47 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:47 /bench1 .................................... ~ 505.29ms
  2026-07-22 12:01:47 /bench1 .................................... ~ 505.31ms
  2026-07-22 12:01:47 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:47 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:47 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:47 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:47 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:47 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:47 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:47 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:47 /bench1 .................................... ~ 505.32ms
  2026-07-22 12:01:47 /bench1 .................................... ~ 505.32ms
  2026-07-22 12:01:47 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:47 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:48 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:48 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:48 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:48 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:48 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:48 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:48 /bench1 ...................................... ~ 0.20ms
  2026-07-22 12:01:48 /bench1 .................................... ~ 505.62ms
  2026-07-22 12:01:48 /bench1 .................................... ~ 505.68ms
  2026-07-22 12:01:48 /bench1 ...................................... ~ 0.21ms
  2026-07-22 12:01:48 /bench1 ...................................... ~ 1.15ms
  2026-07-22 12:01:48 /bench1 ...................................... ~ 0.24ms
